dataset,model,ram,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative
Breast Cancer,KNN,,0.9297158826269213,0.01955529373631192,0.9289498236698794,0.020695000968595282,90945.4,2.408318915758119,0.9289498236698794,0.020695000968595282,f1,0.974198376417381,0.9739334257168806,9.702084533486953,0.9739334257168806
Breast Cancer,MLP,,0.928541116803809,0.02228253444852271,0.9280480826350053,0.02355615089885667,46319.399999999994,43367.44157416815,0.9280480826350053,0.02355615089885667,f1,0.9729674036235066,0.9729880186423251,4.9413684951673815,0.9729880186423251
Breast Cancer,RF,,0.9507633390260312,0.011773781512682302,0.9507277922547231,0.011764878329608496,45260.8,39605.6198506671,0.9507277922547231,0.011764878329608496,f1,0.9962528537419945,0.9967659738357861,4.828436706565108,0.9967659738357861
Breast Cancer,SVM,,0.9543393882937433,0.03581584149355356,0.953812446662984,0.03698359432765948,9373.8,2934.475285293778,0.953812446662984,0.03698359432765948,f1,1.0,1.0,1.0,1.0
Breast Cancer,Wisard,CMS,0.9390156807949076,0.02380876201733865,0.9386914894287225,0.023825868234283256,63648.0,80114.43016086429,0.9386914894287225,0.023825868234283256,f1,0.9839431258032503,0.9841468233223797,6.789989118607182,0.9841468233223797
Dry Bean,KNN,,0.6769485615634958,0.12267793473146199,0.6777190670868615,0.11935758967499939,1451882.6,595903.398166431,0.6777190670868615,0.11935758967499939,f1,0.7520156153605575,0.7529065694276169,2.491885442264765,0.7529065694276169
Dry Bean,MLP,,0.3644027901038756,0.1233126358965027,0.3043946998272319,0.09863491955544142,144372.53333333333,133166.24428397763,0.3043946998272319,0.09863491955544142,f1,0.4048115381265438,0.3381648537409334,0.24778850168479036,0.3381648537409334
Dry Bean,RF,,0.8887147060233536,0.0770684521123647,0.8887632685511043,0.07674948369220844,43165444.4,22082200.445051696,0.8887632685511043,0.07674948369220844,f1,0.98726457884266,0.9873644346977238,74.08542709255495,0.9873644346977238
Dry Bean,SVM,,0.6484408674250938,0.0815458415360511,0.637132008360249,0.08209309140486945,1119227.8,49700.614746701074,0.637132008360249,0.08209309140486945,f1,0.7203466934257996,0.7078167016150377,1.9209455787940568,0.7078167016150377
Dry Bean,Wisard,Dict,0.9001788629600858,0.0041784068326514295,0.90013700850304,0.0035768661733020864,582644.2,439112.30565088167,0.90013700850304,0.0035768661733020864,f1,1.0,1.0,1.0,1.0
Glass,KNN,,0.7011074197120709,0.0614323555450515,0.6839334372989426,0.0645760835542193,16552.4,6786.042462289784,0.6839334372989426,0.0645760835542193,f1,0.9163410044869013,0.9160241865220368,0.07762644162587636,0.9160241865220368
Glass,MLP,,0.6449612403100775,0.05240447684079247,0.6210428829152735,0.046687941410917734,23175.333333333332,13549.569355600279,0.6210428829152735,0.046687941410917734,f1,0.8429584599797366,0.8317919121844396,0.10868627269521194,0.8317919121844396
