dataset,model,ram,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative
Breast Cancer,Wisard,CB,0.9039434870361746,0.04698654475355529,0.9040644055931036,0.04591646346118331,502560.0,561399.7591734432,0.9040644055931036,0.04591646346118331,f1,0.9760334827166152,0.9763805880174279,19.56958542093923,0.9763805880174279
Breast Cancer,Wisard,CC,0.9226103607100347,0.031256894147926276,0.922445140956086,0.03128746047437113,91344.0,137689.69634653133,0.922445140956086,0.03128746047437113,f1,0.9961890499446797,0.9962315998379051,3.5569170063082476,0.9962315998379051
Breast Cancer,Wisard,CMS,0.9390156807949076,0.02380876201733865,0.9386914894287225,0.023825868234283256,63648.0,80114.43016086429,0.9386914894287225,0.023825868234283256,f1,1.0139027034276198,1.0137774949939502,2.478440331247891,1.0137774949939502
Breast Cancer,Wisard,Dict,0.9261398333592092,0.018959006640782025,0.9259344324213117,0.0187909174332449,25680.666666666664,16694.03184773928,0.9259344324213117,0.0187909174332449,f1,1.0,1.0,1.0,1.0
Breast Cancer,Wisard,HH,0.9249495419965843,0.022057633994562672,0.9247810459088729,0.021902892405412728,104174.4,150650.127370673,0.9247810459088729,0.021902892405412728,f1,0.998714782239408,0.9987543540103345,4.056530204304146,0.9987543540103345
Breast Cancer,Wisard,ST,0.9044868809191119,0.04595778746866345,0.90498867073431,0.04489603842933058,37108.8,29169.649761352983,0.90498867073431,0.04489603842933058,f1,0.9766202125638417,0.9773787851994783,1.445009215752447,0.9773787851994783
Dry Bean,Wisard,CB,0.815584256137947,0.17326199647607773,0.8146544048669485,0.17596874469595264,642073.6,479441.2611496845,0.8146544048669485,0.17596874469595264,f1,0.9060246687597577,0.9050337861585626,1.1019994706889729,0.9050337861585626
Dry Bean,Wisard,CC,0.7935180480605835,0.2097506653280356,0.7939906286963259,0.20443786817143814,1235763.2,885876.7904506811,0.7939906286963259,0.20443786817143814,f1,0.8815115314430221,0.8820775295271557,2.1209568378094215,0.8820775295271557
Dry Bean,Wisard,CMS,0.8043093372203602,0.12051141483161354,0.8094239712899286,0.10773609495117908,245235.2,126210.27503020506,0.8094239712899286,0.10773609495117908,f1,0.8934994702891881,0.8992230778690341,0.4209004397537983,0.8992230778690341
Dry Bean,Wisard,Dict,0.9001788629600858,0.0041784068326514295,0.90013700850304,0.0035768661733020864,582644.2,439112.30565088167,0.90013700850304,0.0035768661733020864,f1,1.0,1.0,1.0,1.0
Dry Bean,Wisard,HH,0.7925499520642589,0.1975624177674346,0.7892363862266482,0.2019440398587224,261900.8,127887.16947059233,0.7892363862266482,0.2019440398587224,f1,0.8804360829558835,0.8767958419343034,0.4495038309829567,0.8767958419343034
Dry Bean,Wisard,ST,0.8233692831153492,0.1207241232363591,0.8195545676015126,0.12147650521854383,365836.8,286899.9485311909,0.8195545676015126,0.12147650521854383,f1,0.9146729799984846,0.9104775827009502,0.6278905719820089,0.9104775827009502
Glass,Wisard,CB,0.6420081210778885,0.04905492948433609,0.596542536058186,0.04925053714309178,195868.8,162228.75529079302,0.596542536058186,0.04925053714309178,f1,1.0127525767192687,1.0379826967140535,5.749528379425601,1.0379826967140535
Glass,Wisard,CC,0.6236987818383167,0.09361267150543297,0.5714120938032275,0.10146032263796617,636595.2,806037.4846588712,0.5714120938032275,0.10146032263796617,f1,0.9838700285331625,0.9942557826304713,18.686601279050652,0.9942557826304713
Glass,Wisard,CMS,0.6423403469915098,0.07875995843773859,0.5996889945288203,0.07377474069092543,114912.0,72586.92774873448,0.5996889945288203,0.07377474069092543,f1,1.013276655214581,1.0434575275115832,3.3731242808275472,1.0434575275115832
Glass,Wisard,Dict,0.6339239571797711,0.033116705055925275,0.5747133723391183,0.03268399856241368,34066.933333333334,16510.692758196292,0.5747133723391183,0.03268399856241368,f1,1.0,1.0,1.0,1.0
Glass,Wisard,HH,0.618641565153193,0.04230728205972914,0.5697640638866008,0.040357328242926524,54907.2,21023.358894334655,0.5697640638866008,0.040357328242926524,f1,0.9758923892156292,0.9913882142112449,1.6117447221548167,0.9913882142112449
Glass,Wisard,ST,0.6171280915466962,0.0662327929086743,0.5692268104253451,0.06323536350586523,196214.4,135915.46624575145,0.5692268104253451,0.06323536350586523,f1,0.9735049205147616,0.99045339437389,5.759673114104782,0.99045339437389
Image Segmentation,Wisard,CB,0.8317460317460317,0.043974270403793925,0.8238682447992488,0.04964976438165017,917700.0,768213.5262959121,0.8317460317460317,0.043974270403793925,accuracy,1.2874692874692872,1.2854305307889737,11.6526822628323,1.2874692874692872
Image Segmentation,Wisard,CC,0.826984126984127,0.0927926787496128,0.8296918591589092,0.09039125120422424,1339576.0,2004085.73197855,0.826984126984127,0.0927926787496128,accuracy,1.28009828009828,1.294516755127275,17.009538514673466,1.28009828009828
Image Segmentation,Wisard,CMS,0.7380952380952381,0.08926366570795233,0.7411444640016068,0.0825899349491051,135021.6,84498.78439835687,0.7380952380952381,0.08926366570795233,accuracy,1.1425061425061425,1.1563617456636357,1.7144642077141088,1.1425061425061425
