dataset,model,ram,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative,pareto
Breast Cancer,KNN,,0.9297158826269212,0.0195552937363119,0.9289498236698794,0.0206950009685952,90945.4,2.408318915758119,0.9289498236698794,0.0206950009685952,f1,0.974198376417381,0.9739334257168806,9.702084533486952,0.9739334257168806,False
Breast Cancer,MLP,,0.928541116803809,0.0222825344485227,0.9280480826350052,0.0235561508988566,46319.4,43367.44157416815,0.9280480826350052,0.0235561508988566,f1,0.9729674036235066,0.9729880186423252,4.9413684951673815,0.9729880186423252,False
Breast Cancer,RF,,0.9507633390260312,0.0117737815126823,0.9507277922547231,0.0117648783296084,45260.8,39605.6198506671,0.9507277922547231,0.0117648783296084,f1,0.9962528537419943,0.996765973835786,4.828436706565108,0.996765973835786,False
Breast Cancer,SVM,,0.9543393882937432,0.0358158414935535,0.953812446662984,0.0369835943276594,9373.8,2934.475285293778,0.953812446662984,0.0369835943276594,f1,1.0,1.0,1.0,1.0,True
Breast Cancer,Wisard,CMS,0.9390156807949076,0.0238087620173386,0.9386914894287224,0.0238258682342832,63648.0,80114.43016086429,0.9386914894287224,0.0238258682342832,f1,0.9839431258032504,0.9841468233223796,6.789989118607182,0.9841468233223796,False
Dry Bean,KNN,,0.6769485615634958,0.1226779347314619,0.6777190670868615,0.1193575896749993,1451882.6,595903.398166431,0.6777190670868615,0.1193575896749993,f1,0.7520156153605575,0.7529065694276169,2.491885442264765,0.7529065694276169,False
Dry Bean,MLP,,0.3644027901038756,0.1233126358965027,0.3043946998272319,0.0986349195554414,144372.53333333333,133166.24428397763,0.3043946998272319,0.0986349195554414,f1,0.4048115381265438,0.3381648537409334,0.2477885016847903,0.3381648537409334,True
Dry Bean,RF,,0.8887147060233536,0.0770684521123647,0.8887632685511043,0.0767494836922084,43165444.4,22082200.445051696,0.8887632685511043,0.0767494836922084,f1,0.98726457884266,0.9873644346977238,74.08542709255495,0.9873644346977238,False
Dry Bean,SVM,,0.6484408674250938,0.0815458415360511,0.637132008360249,0.0820930914048694,1119227.8,49700.614746701074,0.637132008360249,0.0820930914048694,f1,0.7203466934257996,0.7078167016150377,1.9209455787940568,0.7078167016150377,False
Dry Bean,Wisard,Dict,0.9001788629600858,0.0041784068326514,0.90013700850304,0.003576866173302,582644.2,439112.30565088167,0.90013700850304,0.003576866173302,f1,1.0,1.0,1.0,1.0,True
Glass,KNN,,0.7011074197120709,0.0614323555450515,0.6839334372989426,0.0645760835542193,16552.4,6786.042462289784,0.6839334372989426,0.0645760835542193,f1,0.9163410044869011,0.9160241865220368,0.0776264416258763,0.9160241865220368,True
Glass,MLP,,0.6449612403100775,0.0524044768407924,0.6210428829152735,0.0466879414109177,23175.33333333333,13549.56935560028,0.6210428829152735,0.0466879414109177,f1,0.8429584599797366,0.8317919121844396,0.1086862726952119,0.8317919121844396,False
Glass,RF,,0.7651162790697674,0.0566740363610364,0.7466325096673517,0.0615122232294642,213231.4666666667,253995.93506257364,0.7466325096673517,0.0615122232294642,f1,1.0,1.0,1.0,1.0,True
Glass,SVM,,0.6355481727574751,0.0505158214185999,0.6134181238418074,0.057847517483264,11739.4,1332.1945428502552,0.6134181238418074,0.057847517483264,f1,0.830655666521928,0.8215797141154548,0.0550547261317278,0.8215797141154548,True
Glass,Wisard,CMS,0.6423403469915098,0.0787599584377385,0.5996889945288203,0.0737747406909254,114912.0,72586.92774873448,0.5996889945288203,0.0737747406909254,f1,0.8395329763110918,0.8031916461767793,0.5389073282492389,0.8031916461767793,False
