bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
2,0.9181286549707602,0.9187807588239637,0.9141073478760046,0.9181286549707602,18,1,1.812206745147705,0.4817047119140625,DictRam,{},16,breast_cancer,distributive-thermometer,"{""resolution"": 16}",breast_cancer experiment,9624,398,171,2,30,2,1670370805,480
5,0.9298245614035088,0.9298245614035088,0.9250876168224299,0.9298245614035088,7,1,1.812206745147705,0.33899927139282227,DictRam,{},16,breast_cancer,distributive-thermometer,"{""resolution"": 16}",breast_cancer experiment,9624,398,171,2,30,2,1670370805,480
10,0.9473684210526315,0.9471006548629638,0.9432626728110598,0.9473684210526315,3,1,1.812206745147705,0.3387486934661865,DictRam,{},16,breast_cancer,distributive-thermometer,"{""resolution"": 16}",breast_cancer experiment,9624,398,171,2,30,2,1670370805,480
2,0.9298245614035088,0.9303835075633976,0.926377726750861,0.9298245614035088,26,2,0.4976072311401367,0.3383185863494873,DictRam,{},16,breast_cancer,distributive-thermometer,"{""resolution"": 16}",breast_cancer experiment,9720,398,171,2,30,2,1670370808,480
5,0.9415204678362573,0.9416944635415341,0.9379535558780843,0.9415204678362573,13,2,0.4976072311401367,0.33971428871154785,DictRam,{},16,breast_cancer,distributive-thermometer,"{""resolution"": 16}",breast_cancer experiment,9720,398,171,2,30,2,1670370808,480
10,0.9239766081871345,0.9232992642351322,0.9174741062479117,0.9239766081871345,3,2,0.4976072311401367,0.3399362564086914,DictRam,{},16,breast_cancer,distributive-thermometer,"{""resolution"": 16}",breast_cancer experiment,9720,398,171,2,30,2,1670370808,480
2,0.8304093567251462,0.8331339412504091,0.8275550300796328,0.8304093567251462,40,3,0.49965357780456543,0.3419990539550781,DictRam,{},16,breast_cancer,distributive-thermometer,"{""resolution"": 16}",breast_cancer experiment,9576,398,171,2,30,2,1670370810,480
5,0.9473684210526315,0.9475969145757922,0.9443218407438225,0.9473684210526315,6,3,0.49965357780456543,0.3248929977416992,DictRam,{},16,breast_cancer,distributive-thermometer,"{""resolution"": 16}",breast_cancer experiment,9576,398,171,2,30,2,1670370810,480
10,0.935672514619883,0.9359517844815239,0.9319489164646722,0.935672514619883,3,3,0.49965357780456543,0.3196685314178467,DictRam,{},16,breast_cancer,distributive-thermometer,"{""resolution"": 16}",breast_cancer experiment,9576,398,171,2,30,2,1670370810,480
2,0.9064327485380117,0.9073678866879744,0.9023415191319246,0.9064327485380118,24,1,0.5092380046844482,0.4184596538543701,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,breast_cancer,distributive-thermometer,"{""resolution"": 16}",breast_cancer experiment,1497840,398,171,2,30,2,1670370811,480
5,0.935672514619883,0.9353452448325115,0.9306543778801843,0.935672514619883,8,1,0.5092380046844482,0.42229700088500977,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,breast_cancer,distributive-thermometer,"{""resolution"": 16}",breast_cancer experiment,1497840,398,171,2,30,2,1670370811,480
10,0.9239766081871345,0.9243066543872553,0.9195759921855214,0.9239766081871345,3,1,0.5092380046844482,0.4305746555328369,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,breast_cancer,distributive-thermometer,"{""resolution"": 16}",breast_cancer experiment,1497840,398,171,2,30,2,1670370811,480
