bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
250,0.4509731913330885,0.4058556584173255,0.46486135473302237,0.4509731913330885,1644,1,4.854608535766602,1.5696070194244385,DictRam,{},48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,5392,10888,2723,7,16,7,1702382877,768
500,0.49467499081894967,0.4863799079944302,0.4067887725627939,0.49467499081894967,662,1,4.854608535766602,1.4231266975402832,DictRam,{},48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,5392,10888,2723,7,16,7,1702382877,768
750,0.4895336026441425,0.46038762557510843,0.3694648360801821,0.4895336026441425,245,1,4.854608535766602,1.444641351699829,DictRam,{},48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,5392,10888,2723,7,16,7,1702382877,768
800,0.5148733015056922,0.48597782412158025,0.38568613793158374,0.5148733015056922,570,1,4.854608535766602,1.4124858379364014,DictRam,{},48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,5392,10888,2723,7,16,7,1702382877,768
250,0.4792508262945281,0.44990330370273507,0.489738724662252,0.4792508262945281,1739,2,2.607672929763794,1.3937289714813232,DictRam,{},48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,5646,10888,2723,7,16,7,1702382890,768
500,0.5225853837679031,0.4997044197828401,0.40897166400344714,0.5225853837679031,810,2,2.607672929763794,1.4224333763122559,DictRam,{},48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,5646,10888,2723,7,16,7,1702382890,768
750,0.48402497245684906,0.4543576146984251,0.3636043683593431,0.48402497245684906,200,2,2.607672929763794,1.4168012142181396,DictRam,{},48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,5646,10888,2723,7,16,7,1702382890,768
800,0.4843922144693353,0.4546451044385497,0.3640341715497421,0.4843922144693353,190,2,2.607672929763794,1.4206762313842773,DictRam,{},48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,5646,10888,2723,7,16,7,1702382890,768
250,0.4814542783694455,0.4517522315674315,0.4950425315386701,0.4814542783694455,1626,3,2.5651051998138428,1.4074492454528809,DictRam,{},48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,5629,10888,2723,7,16,7,1702382898,768
500,0.5178112376055821,0.49795860620643506,0.40830892204607705,0.5178112376055821,964,3,2.5651051998138428,1.3983750343322754,DictRam,{},48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,5629,10888,2723,7,16,7,1702382898,768
750,0.4792508262945281,0.4513527217157252,0.36160425339957475,0.4792508262945281,414,3,2.5651051998138428,1.3645780086517334,DictRam,{},48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,5629,10888,2723,7,16,7,1702382898,768
800,0.4843922144693353,0.45462828868025706,0.3650343468867856,0.4843922144693353,203,3,2.5651051998138428,1.385056972503662,DictRam,{},48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,5629,10888,2723,7,16,7,1702382898,768
250,0.4796180683070143,0.45021597939098307,0.49064125716199136,0.4796180683070143,1660,1,2.260097026824951,2.9512176513671875,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,2795968,10888,2723,7,16,7,1702382906,768
500,0.5225853837679031,0.49976998824597124,0.40996345099321474,0.5225853837679031,968,1,2.260097026824951,2.964876413345337,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",48,dry_bean,thermometer,"{""resolution"": 48}",dry_bean experiment,2795968,10888,2723,7,16,7,1702382906,768
