bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
3,0.5538461538461539,0.48121968121968123,0.326040326040326,0.5538461538461539,41,1,1.8707668781280518,0.18294644355773926,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,2818,149,65,6,9,6,1670456269,144
5,0.6,0.5441856318124068,0.361296242634985,0.6,20,1,1.8707668781280518,0.01789259910583496,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,2818,149,65,6,9,6,1670456269,144
10,0.6307692307692307,0.5708280790248004,0.36854887674559805,0.6307692307692307,14,1,1.8707668781280518,0.01805853843688965,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,2818,149,65,6,9,6,1670456269,144
15,0.5384615384615384,0.45647642679900746,0.244179523141655,0.5384615384615384,16,1,1.8707668781280518,0.01791524887084961,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,2818,149,65,6,9,6,1670456269,144
20,0.49230769230769234,0.39996747438607905,0.1967347897580456,0.49230769230769234,17,1,1.8707668781280518,0.018589258193969727,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,2818,149,65,6,9,6,1670456269,144
3,0.6307692307692307,0.5787091069849691,0.4186462324393359,0.6307692307692307,32,2,0.0189511775970459,0.01766037940979004,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,3134,149,65,6,9,6,1670456272,144
5,0.6923076923076923,0.6241982698152911,0.3817359000337724,0.6923076923076923,17,2,0.0189511775970459,0.01796436309814453,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,3134,149,65,6,9,6,1670456272,144
10,0.6,0.5312741312741314,0.33719433719433717,0.6,11,2,0.0189511775970459,0.01779937744140625,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,3134,149,65,6,9,6,1670456272,144
15,0.49230769230769234,0.4331959706959708,0.2845568783068783,0.49230769230769234,36,2,0.0189511775970459,0.017584562301635742,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,3134,149,65,6,9,6,1670456272,144
20,0.4,0.291631299734748,0.1449712643678161,0.4000000000000001,27,2,0.0189511775970459,0.01599407196044922,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,3134,149,65,6,9,6,1670456272,144
3,0.6307692307692307,0.5787091069849691,0.4186462324393359,0.6307692307692307,32,3,0.01795482635498047,0.01844334602355957,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,3134,149,65,6,9,6,1670456272,144
5,0.6923076923076923,0.6241982698152911,0.3817359000337724,0.6923076923076923,17,3,0.01795482635498047,0.01798701286315918,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,3134,149,65,6,9,6,1670456272,144
10,0.6,0.5312741312741314,0.33719433719433717,0.6,11,3,0.01795482635498047,0.017705678939819336,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,3134,149,65,6,9,6,1670456272,144
15,0.49230769230769234,0.4331959706959708,0.2845568783068783,0.49230769230769234,36,3,0.01795482635498047,0.017499446868896484,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,3134,149,65,6,9,6,1670456272,144
20,0.4,0.291631299734748,0.1449712643678161,0.4000000000000001,27,3,0.01795482635498047,0.016110897064208984,DictRam,{},16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,3134,149,65,6,9,6,1670456272,144
3,0.6307692307692307,0.5787091069849691,0.4186462324393359,0.6307692307692307,32,1,0.014148950576782227,0.027733802795410156,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456272,144
5,0.6923076923076923,0.6241982698152911,0.3817359000337724,0.6923076923076923,17,1,0.014148950576782227,0.027514934539794922,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456272,144
10,0.6,0.5312741312741314,0.33719433719433717,0.6,11,1,0.014148950576782227,0.0269315242767334,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456272,144
15,0.49230769230769234,0.4331959706959708,0.2845568783068783,0.49230769230769234,36,1,0.014148950576782227,0.02696990966796875,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456272,144
20,0.4,0.291631299734748,0.1449712643678161,0.4000000000000001,27,1,0.014148950576782227,0.027808189392089844,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456272,144
3,0.6,0.5457808455565142,0.4118237305467676,0.6,35,2,0.013556718826293945,0.026980161666870117,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456273,144
5,0.5538461538461539,0.4927998729856315,0.3363392140481924,0.5538461538461539,25,2,0.013556718826293945,0.02753138542175293,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456273,144
10,0.5538461538461539,0.4844328014606652,0.3328582895146363,0.5538461538461539,22,2,0.013556718826293945,0.027191638946533203,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456273,144
15,0.4307692307692308,0.3424166926191218,0.1699280251911831,0.43076923076923074,29,2,0.013556718826293945,0.027109384536743164,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456273,144
20,0.5538461538461539,0.4853969559851913,0.32758962170726874,0.5538461538461539,30,2,0.013556718826293945,0.02633357048034668,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456273,144
3,0.6,0.5457808455565142,0.4118237305467676,0.6,35,3,0.013614177703857422,0.02702927589416504,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456273,144
5,0.5538461538461539,0.4927998729856315,0.3363392140481924,0.5538461538461539,25,3,0.013614177703857422,0.02709674835205078,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456273,144
10,0.5538461538461539,0.4844328014606652,0.3328582895146363,0.5538461538461539,22,3,0.013614177703857422,0.026980161666870117,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456273,144
15,0.4307692307692308,0.3424166926191218,0.1699280251911831,0.43076923076923074,29,3,0.013614177703857422,0.029013395309448242,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456273,144
20,0.5538461538461539,0.4853969559851913,0.32758962170726874,0.5538461538461539,30,3,0.013614177703857422,0.026295900344848633,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,1348056,149,65,6,9,6,1670456273,144
3,0.6,0.5457808455565142,0.4118237305467676,0.6,35,1,0.013247013092041016,0.026827335357666016,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
5,0.5538461538461539,0.4927998729856315,0.3363392140481924,0.5538461538461539,25,1,0.013247013092041016,0.02669525146484375,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
10,0.5538461538461539,0.4844328014606652,0.3328582895146363,0.5538461538461539,22,1,0.013247013092041016,0.027527570724487305,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
15,0.4307692307692308,0.3424166926191218,0.1699280251911831,0.43076923076923074,29,1,0.013247013092041016,0.026746749877929688,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
20,0.5538461538461539,0.4853969559851913,0.32758962170726874,0.5538461538461539,30,1,0.013247013092041016,0.027154207229614258,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
3,0.6,0.5457808455565142,0.4118237305467676,0.6,35,2,0.013060331344604492,0.027008056640625,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
5,0.5538461538461539,0.4927998729856315,0.3363392140481924,0.5538461538461539,25,2,0.013060331344604492,0.026618480682373047,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
10,0.5538461538461539,0.4844328014606652,0.3328582895146363,0.5538461538461539,22,2,0.013060331344604492,0.026454925537109375,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
15,0.4307692307692308,0.3424166926191218,0.1699280251911831,0.43076923076923074,29,2,0.013060331344604492,0.026518821716308594,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
20,0.5538461538461539,0.4853969559851913,0.32758962170726874,0.5538461538461539,30,2,0.013060331344604492,0.02677440643310547,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
3,0.6,0.5457808455565142,0.4118237305467676,0.6,35,3,0.013355255126953125,0.027280330657958984,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
5,0.5538461538461539,0.4927998729856315,0.3363392140481924,0.5538461538461539,25,3,0.013355255126953125,0.02655935287475586,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
10,0.5538461538461539,0.4844328014606652,0.3328582895146363,0.5538461538461539,22,3,0.013355255126953125,0.02682185173034668,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
15,0.4307692307692308,0.3424166926191218,0.1699280251911831,0.43076923076923074,29,3,0.013355255126953125,0.026587724685668945,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
20,0.5538461538461539,0.4853969559851913,0.32758962170726874,0.5538461538461539,30,3,0.013355255126953125,0.026350021362304688,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,glass,distributive-thermometer,"{""resolution"": 16}",glass experiment,135864,149,65,6,9,6,1670456273,144
