bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
1,0.7142857142857143,0.7041216486594638,0.7041216486594637,0.7142857142857143,13,1,2.4379048347473145,0.2362048625946045,DictRam,{},24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,12758,168,42,7,38,7,1702339674,912
2,0.7619047619047619,0.7619047619047619,0.761904761904762,0.7619047619047619,11,1,2.4379048347473145,0.07469797134399414,DictRam,{},24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,12758,168,42,7,38,7,1702339674,912
3,0.7857142857142857,0.7582417582417582,0.7582417582417582,0.7857142857142857,7,1,2.4379048347473145,0.07207870483398438,DictRam,{},24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,12758,168,42,7,38,7,1702339674,912
4,0.8095238095238095,0.8071690214547357,0.8071690214547358,0.8095238095238095,2,1,2.4379048347473145,0.0714719295501709,DictRam,{},24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,12758,168,42,7,38,7,1702339674,912
1,0.8095238095238095,0.7888016745159603,0.7888016745159602,0.8095238095238095,9,2,0.12526488304138184,0.07196402549743652,DictRam,{},24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,12698,168,42,7,38,7,1702339679,912
2,0.7380952380952381,0.7306122448979592,0.7306122448979593,0.7380952380952381,4,2,0.12526488304138184,0.07202386856079102,DictRam,{},24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,12698,168,42,7,38,7,1702339679,912
3,0.6904761904761905,0.6759074259074259,0.6759074259074259,0.6904761904761905,6,2,0.12526488304138184,0.07094192504882812,DictRam,{},24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,12698,168,42,7,38,7,1702339679,912
4,0.7857142857142857,0.775139146567718,0.775139146567718,0.7857142857142857,1,2,0.12526488304138184,0.07137393951416016,DictRam,{},24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,12698,168,42,7,38,7,1702339679,912
1,0.7380952380952381,0.7384553821528611,0.7384553821528612,0.7380952380952381,8,3,0.12399601936340332,0.07198762893676758,DictRam,{},24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,13096,168,42,7,38,7,1702339680,912
2,0.6904761904761905,0.6910866910866911,0.6910866910866912,0.6904761904761905,7,3,0.12399601936340332,0.07121443748474121,DictRam,{},24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,13096,168,42,7,38,7,1702339680,912
3,0.7142857142857143,0.7011904761904761,0.7011904761904763,0.7142857142857143,6,3,0.12399601936340332,0.07110047340393066,DictRam,{},24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,13096,168,42,7,38,7,1702339680,912
4,0.7857142857142857,0.7723704866562009,0.772370486656201,0.7857142857142857,2,3,0.12399601936340332,0.07064270973205566,DictRam,{},24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,13096,168,42,7,38,7,1702339680,912
1,0.7142857142857143,0.6924503134587169,0.6924503134587168,0.7142857142857143,11,1,0.15888261795043945,0.17362523078918457,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,6640424,168,42,7,38,7,1702339681,912
2,0.7142857142857143,0.6924503134587169,0.6924503134587168,0.7142857142857143,12,1,0.15888261795043945,0.17445683479309082,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,6640424,168,42,7,38,7,1702339681,912
3,0.6904761904761905,0.6789115646258503,0.6789115646258503,0.6904761904761905,13,1,0.15888261795043945,0.17694330215454102,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,6640424,168,42,7,38,7,1702339681,912
4,0.7619047619047619,0.7636363636363638,0.7636363636363637,0.7619047619047619,6,1,0.15888261795043945,0.17412567138671875,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,6640424,168,42,7,38,7,1702339681,912
1,0.8333333333333334,0.8240362811791383,0.8240362811791383,0.8333333333333334,9,2,0.12250995635986328,0.1738147735595703,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,6640424,168,42,7,38,7,1702339682,912
2,0.8333333333333334,0.8275153418010559,0.8275153418010561,0.8333333333333334,9,2,0.12250995635986328,0.1744980812072754,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,6640424,168,42,7,38,7,1702339682,912
3,0.8095238095238095,0.8148423005565862,0.8148423005565862,0.8095238095238095,9,2,0.12250995635986328,0.12776398658752441,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,6640424,168,42,7,38,7,1702339682,912
4,0.8095238095238095,0.8146520146520146,0.8146520146520146,0.8095238095238095,7,2,0.12250995635986328,0.13489079475402832,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,6640424,168,42,7,38,7,1702339682,912
1,0.7619047619047619,0.7428153079413584,0.7428153079413583,0.7619047619047619,10,3,0.08742427825927734,0.124267578125,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,6640424,168,42,7,38,7,1702339683,912
2,0.7142857142857143,0.6945757250268529,0.6945757250268528,0.7142857142857143,9,3,0.08742427825927734,0.12012934684753418,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,6640424,168,42,7,38,7,1702339683,912
3,0.7857142857142857,0.7905844155844155,0.7905844155844156,0.7857142857142857,9,3,0.08742427825927734,0.1308128833770752,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,6640424,168,42,7,38,7,1702339683,912
4,0.7380952380952381,0.7373182373182373,0.7373182373182372,0.7380952380952381,3,3,0.08742427825927734,0.12578988075256348,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,6640424,168,42,7,38,7,1702339683,912
1,0.7142857142857143,0.7027210884353742,0.7027210884353741,0.7142857142857143,10,1,0.08468770980834961,0.12386798858642578,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,669256,168,42,7,38,7,1702339684,912
2,0.7857142857142857,0.7842603708149926,0.7842603708149927,0.7857142857142857,7,1,0.08468770980834961,0.12621784210205078,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,669256,168,42,7,38,7,1702339684,912
3,0.8095238095238095,0.81590174531351,0.8159017453135099,0.8095238095238095,6,1,0.08468770980834961,0.13212800025939941,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,669256,168,42,7,38,7,1702339684,912
4,0.8095238095238095,0.8155844155844155,0.8155844155844155,0.8095238095238095,4,1,0.08468770980834961,0.12777924537658691,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,669256,168,42,7,38,7,1702339684,912
1,0.7380952380952381,0.7241675617615466,0.7241675617615467,0.7380952380952381,14,2,0.08998918533325195,0.12030553817749023,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,669256,168,42,7,38,7,1702339685,912
2,0.7857142857142857,0.7846887239744382,0.7846887239744383,0.7857142857142857,11,2,0.08998918533325195,0.12742280960083008,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,669256,168,42,7,38,7,1702339685,912
3,0.8095238095238095,0.8015873015873017,0.8015873015873015,0.8095238095238095,7,2,0.08998918533325195,0.13105177879333496,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,669256,168,42,7,38,7,1702339685,912
4,0.8571428571428571,0.8434502005930578,0.8434502005930576,0.8571428571428571,3,2,0.08998918533325195,0.12441158294677734,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,669256,168,42,7,38,7,1702339685,912
1,0.7380952380952381,0.7221288515406163,0.7221288515406162,0.7380952380952381,12,3,0.091644287109375,0.12111425399780273,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,669256,168,42,7,38,7,1702339686,912
2,0.7380952380952381,0.7416361416361417,0.7416361416361417,0.7380952380952381,8,3,0.091644287109375,0.12449789047241211,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,669256,168,42,7,38,7,1702339686,912
3,0.7619047619047619,0.7663526949241234,0.7663526949241236,0.7619047619047619,7,3,0.091644287109375,0.1309349536895752,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,669256,168,42,7,38,7,1702339686,912
4,0.8095238095238095,0.8064574314574315,0.8064574314574315,0.8095238095238095,6,3,0.091644287109375,0.12544584274291992,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,669256,168,42,7,38,7,1702339686,912
1,0.7619047619047619,0.7520923520923521,0.752092352092352,0.7619047619047619,11,1,0.11817312240600586,0.17692971229553223,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,872480,168,42,7,38,7,1702339687,912
2,0.7142857142857143,0.7042717086834734,0.7042717086834733,0.7142857142857143,11,1,0.11817312240600586,0.24485468864440918,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,872480,168,42,7,38,7,1702339687,912
3,0.8095238095238095,0.7857142857142857,0.7857142857142857,0.8095238095238095,3,1,0.11817312240600586,0.24231243133544922,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,872480,168,42,7,38,7,1702339687,912
4,0.7857142857142857,0.7787545787545787,0.7787545787545788,0.7857142857142857,3,1,0.11817312240600586,0.17022085189819336,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,872480,168,42,7,38,7,1702339687,912
1,0.7380952380952381,0.7170068027210885,0.7170068027210884,0.7380952380952381,15,2,0.11980104446411133,0.18244624137878418,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",24,image_segmentation,distributive-thermometer,"{""resolution"": 48}",image_segmentation experiment,872480,168,42,7,38,7,1702339689,912
