bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
2,0.9333333333333333,0.9326599326599326,0.9326599326599326,0.9333333333333333,2,1,1.6548957824707031,0.14827370643615723,DictRam,{},16,iris,distributive-thermometer,"{""resolution"": 20}",iris experiment,1060,105,45,3,5,3,1670435012,80
5,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,1,1,1.6548957824707031,0.003565549850463867,DictRam,{},16,iris,distributive-thermometer,"{""resolution"": 20}",iris experiment,1060,105,45,3,5,3,1670435012,80
8,0.9111111111111111,0.910320108762823,0.9103201087628229,0.9111111111111111,2,1,1.6548957824707031,0.003515481948852539,DictRam,{},16,iris,distributive-thermometer,"{""resolution"": 20}",iris experiment,1060,105,45,3,5,3,1670435012,80
10,0.8666666666666667,0.8618191843998295,0.8618191843998296,0.8666666666666667,3,1,1.6548957824707031,0.0035152435302734375,DictRam,{},16,iris,distributive-thermometer,"{""resolution"": 20}",iris experiment,1060,105,45,3,5,3,1670435012,80
15,0.8888888888888888,0.8871031746031746,0.8871031746031747,0.8888888888888888,5,1,1.6548957824707031,0.003458261489868164,DictRam,{},16,iris,distributive-thermometer,"{""resolution"": 20}",iris experiment,1060,105,45,3,5,3,1670435012,80
2,0.8888888888888888,0.8877665544332211,0.8877665544332212,0.8888888888888888,2,2,0.006772756576538086,0.0035440921783447266,DictRam,{},16,iris,distributive-thermometer,"{""resolution"": 20}",iris experiment,1074,105,45,3,5,3,1670435015,80
5,0.9333333333333333,0.9332591768631814,0.9332591768631814,0.9333333333333333,2,2,0.006772756576538086,0.0037136077880859375,DictRam,{},16,iris,distributive-thermometer,"{""resolution"": 20}",iris experiment,1074,105,45,3,5,3,1670435015,80
8,0.9333333333333333,0.9331797235023042,0.9331797235023043,0.9333333333333333,4,2,0.006772756576538086,0.003531932830810547,DictRam,{},16,iris,distributive-thermometer,"{""resolution"": 20}",iris experiment,1074,105,45,3,5,3,1670435015,80
10,0.9333333333333333,0.9313769414575866,0.9313769414575866,0.9333333333333333,4,2,0.006772756576538086,0.003595590591430664,DictRam,{},16,iris,distributive-thermometer,"{""resolution"": 20}",iris experiment,1074,105,45,3,5,3,1670435015,80
15,0.8888888888888888,0.8883661887694145,0.8883661887694146,0.8888888888888888,8,2,0.006772756576538086,0.003587961196899414,DictRam,{},16,iris,distributive-thermometer,"{""resolution"": 20}",iris experiment,1074,105,45,3,5,3,1670435015,80
