bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
3,0.8461666666666666,0.8473420691787368,0.8469181121685772,0.8461666666666666,706,1,8.674992084503174,23.189006090164185,DictRam,{},16,letter,thermometer,"{""resolution"": 32}",letter experiment,299560,14000,6000,26,32,26,1670463426,512
5,0.8381666666666666,0.8401649860036448,0.8396784618879443,0.8381666666666666,602,1,8.674992084503174,22.716434001922607,DictRam,{},16,letter,thermometer,"{""resolution"": 32}",letter experiment,299560,14000,6000,26,32,26,1670463426,512
3,0.8553333333333333,0.8561998390925617,0.8556479458577653,0.8553333333333333,652,2,6.885235071182251,22.651355981826782,DictRam,{},16,letter,thermometer,"{""resolution"": 32}",letter experiment,311137,14000,6000,26,32,26,1670463483,512
5,0.8478333333333333,0.8487145852500317,0.8482491072058557,0.8478333333333333,505,2,6.885235071182251,22.952629327774048,DictRam,{},16,letter,thermometer,"{""resolution"": 32}",letter experiment,311137,14000,6000,26,32,26,1670463483,512
3,0.8583333333333333,0.8589338605119143,0.8585805799901396,0.8583333333333333,740,3,6.825229644775391,22.891985416412354,DictRam,{},16,letter,thermometer,"{""resolution"": 32}",letter experiment,301634,14000,6000,26,32,26,1670463538,512
5,0.8483333333333334,0.8499729264891177,0.8496977867088374,0.8483333333333335,538,3,6.825229644775391,22.93839955329895,DictRam,{},16,letter,thermometer,"{""resolution"": 32}",letter experiment,301634,14000,6000,26,32,26,1670463538,512
3,0.839,0.840558838831731,0.8401533552704961,0.839,761,1,5.430429220199585,44.11045837402344,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,20770048,14000,6000,26,32,26,1670463592,512
5,0.8343333333333334,0.8364225420452077,0.8357829454783682,0.8343333333333334,621,1,5.430429220199585,43.36910605430603,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,20770048,14000,6000,26,32,26,1670463592,512
3,0.8516666666666667,0.8525997694582234,0.8523622527272544,0.8516666666666667,627,2,5.4539759159088135,44.92440938949585,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,20770048,14000,6000,26,32,26,1670463687,512
5,0.843,0.844292202133103,0.8439495827189382,0.843,537,2,5.4539759159088135,44.264806270599365,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,20770048,14000,6000,26,32,26,1670463687,512
3,0.8585,0.8594950947715457,0.8590878925401447,0.8585,627,3,5.499680280685425,44.77570104598999,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,20770048,14000,6000,26,32,26,1670463783,512
5,0.841,0.8427815143359904,0.8425289006815659,0.841,531,3,5.499680280685425,44.186233043670654,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,20770048,14000,6000,26,32,26,1670463783,512
3,0.8505,0.8524724974158328,0.852130676438308,0.8505,684,1,5.413956642150879,43.689690351486206,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,2093312,14000,6000,26,32,26,1670463879,512
5,0.8466666666666667,0.848726885694388,0.8484901037848277,0.8466666666666667,513,1,5.413956642150879,43.09692573547363,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,2093312,14000,6000,26,32,26,1670463879,512
3,0.8455,0.8472016222144754,0.8469021271676161,0.8455,665,2,5.431113004684448,44.26788663864136,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,2093312,14000,6000,26,32,26,1670463972,512
5,0.8361666666666666,0.8380006441984131,0.8375950320300838,0.8361666666666666,590,2,5.431113004684448,43.64935660362244,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,2093312,14000,6000,26,32,26,1670463972,512
3,0.8431666666666666,0.8444101651165279,0.8437212452669625,0.8431666666666666,736,3,5.4412841796875,43.97685790061951,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,2093312,14000,6000,26,32,26,1670464067,512
5,0.8335,0.8355214413149434,0.8350347982691825,0.8335,645,3,5.4412841796875,43.44369173049927,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,2093312,14000,6000,26,32,26,1670464067,512
3,0.8446666666666667,0.8461813113940834,0.8456394146544428,0.8446666666666667,756,1,6.953918933868408,59.742558002471924,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,2728960,14000,6000,26,32,26,1670464162,512
5,0.842,0.8428635244866325,0.8423299817315819,0.842,565,1,6.953918933868408,60.00531196594238,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,2728960,14000,6000,26,32,26,1670464162,512
3,0.8515,0.8511291501839133,0.850440780046775,0.8515,678,2,7.1094582080841064,61.379040479660034,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,2728960,14000,6000,26,32,26,1670464290,512
5,0.8333333333333334,0.8340361857413221,0.8334358157729187,0.8333333333333334,612,2,7.1094582080841064,60.58095145225525,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,2728960,14000,6000,26,32,26,1670464290,512
3,0.8478333333333333,0.8493314098351284,0.848902386209631,0.8478333333333333,673,3,7.044277906417847,61.103567361831665,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,2728960,14000,6000,26,32,26,1670464420,512
5,0.8381666666666666,0.8397830496077998,0.8392719162309217,0.8381666666666666,572,3,7.044277906417847,60.09478211402893,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,2728960,14000,6000,26,32,26,1670464420,512
3,0.8548333333333333,0.8560394676187296,0.8556784635135302,0.8548333333333333,597,1,5.443207263946533,44.458404541015625,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.08}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,1767168,14000,6000,26,32,26,1670464550,512
5,0.8475,0.8492785572440671,0.8489159753262784,0.8475,545,1,5.443207263946533,43.688775300979614,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.08}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,1767168,14000,6000,26,32,26,1670464550,512
3,0.8485,0.8494335493972394,0.8487789346425997,0.8485,692,2,5.4437196254730225,44.14547371864319,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.08}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,1767168,14000,6000,26,32,26,1670464645,512
5,0.8371666666666666,0.8381793100072629,0.8376326881449022,0.8371666666666666,594,2,5.4437196254730225,43.664602518081665,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.08}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,1767168,14000,6000,26,32,26,1670464645,512
3,0.8575,0.8587402162532458,0.8581163230364655,0.8575,583,3,5.424185276031494,43.42061376571655,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.08}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,1767168,14000,6000,26,32,26,1670464740,512
5,0.8445,0.8467092210840935,0.8461029943436753,0.8445,487,3,5.424185276031494,43.34437370300293,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.08}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,1767168,14000,6000,26,32,26,1670464740,512
3,0.8533333333333334,0.8542532004964397,0.8539501639807126,0.8533333333333335,709,1,6.624864339828491,59.20915675163269,count-min-sketch,"{""width"": 1000, ""depth"": 5}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,16653312,14000,6000,26,32,26,1670464834,512
5,0.8386666666666667,0.84051147571512,0.8402314130853044,0.8386666666666667,633,1,6.624864339828491,58.66468024253845,count-min-sketch,"{""width"": 1000, ""depth"": 5}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,16653312,14000,6000,26,32,26,1670464834,512
3,0.8455,0.8479143586339105,0.8475826596734397,0.8455,668,2,6.655376672744751,60.047630310058594,count-min-sketch,"{""width"": 1000, ""depth"": 5}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,16653312,14000,6000,26,32,26,1670464960,512
5,0.831,0.8339131653440356,0.8334675201860618,0.831,561,2,6.655376672744751,59.773951292037964,count-min-sketch,"{""width"": 1000, ""depth"": 5}",16,letter,thermometer,"{""resolution"": 32}",letter experiment,16653312,14000,6000,26,32,26,1670464960,512
