bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
32,0.914,0.9147077791497955,0.9138927707255311,0.914,39,1,634.4458348751068,349.626300573349,DictRam,{},16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,9048088,60000,10000,10,784,10,1702336702,12544
32,0.9141,0.914853291875614,0.9141287919062142,0.9141,39,2,662.4715313911438,354.46874475479126,DictRam,{},16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,9111623,60000,10000,10,784,10,1702337698,12544
32,0.9146,0.9153214088293995,0.9144650329445563,0.9146,38,3,674.739221572876,377.65387439727783,DictRam,{},16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,9075082,60000,10000,10,784,10,1702338724,12544
32,0.9124,0.9132120982489645,0.9123966467485843,0.9124,30,1,460.32976174354553,552.9337131977081,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,195717760,60000,10000,10,784,10,1702339787,12544
32,0.9127,0.9136397433875085,0.9129705501178963,0.9127,41,2,473.3706967830658,582.173900604248,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,195717760,60000,10000,10,784,10,1702340804,12544
32,0.9139,0.9146304697686377,0.9137403477954835,0.9139,41,3,456.90177750587463,564.8873467445374,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,195717760,60000,10000,10,784,10,1702341863,12544
32,0.9124,0.9133054755880238,0.9125351843030394,0.9124,43,1,468.64830017089844,585.58180975914,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,19725440,60000,10000,10,784,10,1702342888,12544
32,0.9136,0.9143809989999432,0.9135323753252077,0.9136,36,2,453.77962613105774,622.9476490020752,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,19725440,60000,10000,10,784,10,1702343945,12544
32,0.9129,0.9136837622709927,0.9129776845040218,0.9129000000000002,33,3,773.8547019958496,607.581170797348,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,19725440,60000,10000,10,784,10,1702345025,12544
32,0.9139,0.9147316881868938,0.91397535834544,0.9139,45,1,596.1589584350586,759.8895585536957,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,25715200,60000,10000,10,784,10,1702346409,12544
32,0.9121,0.9129894554618975,0.912210344751627,0.9121,44,2,642.1389260292053,798.287994146347,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,25715200,60000,10000,10,784,10,1702347767,12544
32,0.9133,0.9141692241097796,0.9134923219749634,0.9133,40,3,614.5363731384277,791.8620569705963,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,25715200,60000,10000,10,784,10,1702349211,12544
32,0.9104,0.9113122801242174,0.9105602166307515,0.9103999999999999,38,1,482.9406237602234,584.6151778697968,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.08}",16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,16652160,60000,10000,10,784,10,1702350620,12544
32,0.9114,0.9122579962799344,0.9115373279849862,0.9114,46,2,475.052193403244,572.0434730052948,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.08}",16,mnist,distributive-thermometer,"{""resolution"": 16}",mnist experiment,16652160,60000,10000,10,784,10,1702351690,12544
