bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
8,0.4362745098039216,0.304620397841951,0.304620397841951,0.4362745098039216,723,1,18.320553064346313,9.716872692108154,DictRam,{},16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,77211,3414,1020,6,360,6,1702174975,5760
10,0.4362745098039216,0.294991284721465,0.2949912847214651,0.4362745098039216,692,1,18.320553064346313,9.415744304656982,DictRam,{},16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,77211,3414,1020,6,360,6,1702174975,5760
15,0.42745098039215684,0.2874247822830783,0.2874247822830782,0.4274509803921569,670,1,18.320553064346313,9.33529806137085,DictRam,{},16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,77211,3414,1020,6,360,6,1702174975,5760
8,0.43823529411764706,0.3020398548383623,0.3020398548383623,0.43823529411764706,721,1,13.358335256576538,19.201982498168945,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,53922240,3414,1020,6,360,6,1702175025,5760
10,0.43823529411764706,0.29909778500591117,0.29909778500591117,0.43823529411764706,705,1,13.358335256576538,18.391457080841064,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,53922240,3414,1020,6,360,6,1702175025,5760
15,0.45,0.32648934202055585,0.32648934202055585,0.45,677,1,13.358335256576538,18.70235514640808,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,53922240,3414,1020,6,360,6,1702175025,5760
8,0.44509803921568625,0.30642859311833964,0.30642859311833964,0.44509803921568625,724,1,13.704832792282104,18.94588303565979,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,5434560,3414,1020,6,360,6,1702175098,5760
10,0.4392156862745098,0.299257219135403,0.299257219135403,0.4392156862745098,700,1,13.704832792282104,19.19825839996338,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,5434560,3414,1020,6,360,6,1702175098,5760
15,0.42745098039215684,0.28672492168929475,0.28672492168929475,0.4274509803921569,679,1,13.704832792282104,19.679017782211304,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,5434560,3414,1020,6,360,6,1702175098,5760
8,0.44019607843137254,0.2996402534783592,0.2996402534783592,0.44019607843137254,714,1,17.67578911781311,26.2115740776062,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,7084800,3414,1020,6,360,6,1702175171,5760
10,0.4372549019607843,0.2944177311045215,0.2944177311045215,0.43725490196078437,694,1,17.67578911781311,26.1421377658844,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,7084800,3414,1020,6,360,6,1702175171,5760
15,0.4362745098039216,0.3047592056183569,0.30475920561835684,0.4362745098039216,670,1,17.67578911781311,25.828688383102417,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.02}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,7084800,3414,1020,6,360,6,1702175171,5760
8,0.45294117647058824,0.31729629738781445,0.31729629738781445,0.45294117647058824,724,1,13.79319167137146,19.566660404205322,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.08}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,4587840,3414,1020,6,360,6,1702175269,5760
10,0.4362745098039216,0.2984106584541438,0.2984106584541437,0.4362745098039216,685,1,13.79319167137146,19.50143551826477,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.08}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,4587840,3414,1020,6,360,6,1702175269,5760
15,0.4245098039215686,0.2834277438633156,0.28342774386331554,0.4245098039215686,666,1,13.79319167137146,19.354035139083862,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.08}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,4587840,3414,1020,6,360,6,1702175269,5760
8,0.4441176470588235,0.31010363961099185,0.3101036396109918,0.4441176470588235,711,1,16.27838397026062,24.495694398880005,count-min-sketch,"{""width"": 1000, ""depth"": 5}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,43234560,3414,1020,6,360,6,1702175343,5760
10,0.44509803921568625,0.3163430662286051,0.31634306622860503,0.44509803921568625,692,1,16.27838397026062,24.839212894439697,count-min-sketch,"{""width"": 1000, ""depth"": 5}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,43234560,3414,1020,6,360,6,1702175343,5760
15,0.4362745098039216,0.30516265784817065,0.30516265784817065,0.4362745098039216,675,1,16.27838397026062,24.94875717163086,count-min-sketch,"{""width"": 1000, ""depth"": 5}",16,motion_sense,distributive-thermometer,"{""resolution"": 16}",motion_sense experiment,43234560,3414,1020,6,360,6,1702175343,5760
