bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
1,0.9804270462633452,0.9804279219784799,0.9804325498082429,0.9804270462633452,5,1,5.842433452606201,3.4667255878448486,DictRam,{},16,optical_handwritten,thermometer,"{""resolution"": 16}",optical_handwritten experiment,518641,4496,1124,10,64,10,1702338600,1024
2,0.9822064056939501,0.9822655047760617,0.98226084735832,0.9822064056939501,4,1,5.842433452606201,3.2222750186920166,DictRam,{},16,optical_handwritten,thermometer,"{""resolution"": 16}",optical_handwritten experiment,518641,4496,1124,10,64,10,1702338600,1024
4,0.9706405693950177,0.9706975815429655,0.9707127305930717,0.9706405693950177,8,1,5.842433452606201,3.1499264240264893,DictRam,{},16,optical_handwritten,thermometer,"{""resolution"": 16}",optical_handwritten experiment,518641,4496,1124,10,64,10,1702338600,1024
8,0.9608540925266904,0.9609763738892035,0.9609908098395368,0.9608540925266904,9,1,5.842433452606201,3.392299175262451,DictRam,{},16,optical_handwritten,thermometer,"{""resolution"": 16}",optical_handwritten experiment,518641,4496,1124,10,64,10,1702338600,1024
1,0.9795373665480427,0.9796053843457148,0.9796035518569429,0.9795373665480427,10,2,3.8628554344177246,3.2620909214019775,DictRam,{},16,optical_handwritten,thermometer,"{""resolution"": 16}",optical_handwritten experiment,506300,4496,1124,10,64,10,1702338623,1024
2,0.9750889679715302,0.9751477032378048,0.9751683148589187,0.9750889679715302,6,2,3.8628554344177246,3.293795347213745,DictRam,{},16,optical_handwritten,thermometer,"{""resolution"": 16}",optical_handwritten experiment,506300,4496,1124,10,64,10,1702338623,1024
4,0.9750889679715302,0.9751618464169449,0.975182234407513,0.9750889679715302,6,2,3.8628554344177246,3.2979986667633057,DictRam,{},16,optical_handwritten,thermometer,"{""resolution"": 16}",optical_handwritten experiment,506300,4496,1124,10,64,10,1702338623,1024
8,0.9679715302491103,0.9681071327047703,0.9681373971581237,0.9679715302491103,4,2,3.8628554344177246,3.3225595951080322,DictRam,{},16,optical_handwritten,thermometer,"{""resolution"": 16}",optical_handwritten experiment,506300,4496,1124,10,64,10,1702338623,1024
1,0.9768683274021353,0.9769316042439278,0.9769789148013782,0.9768683274021353,5,3,3.8792922496795654,3.313605785369873,DictRam,{},16,optical_handwritten,thermometer,"{""resolution"": 16}",optical_handwritten experiment,500845,4496,1124,10,64,10,1702338642,1024
2,0.9733096085409253,0.9734098149069019,0.9734365018688791,0.9733096085409253,2,3,3.8792922496795654,3.2688181400299072,DictRam,{},16,optical_handwritten,thermometer,"{""resolution"": 16}",optical_handwritten experiment,500845,4496,1124,10,64,10,1702338642,1024
