bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
2,0.3411764705882353,0.2556152434448581,0.2538419434971159,0.3411764705882353,159,1,2.3448801040649414,0.21503067016601562,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2073,676,170,3,18,3,1702353415,288
5,0.3352941176470588,0.24176457858914915,0.24522803460856557,0.3352941176470588,160,1,2.3448801040649414,0.04562687873840332,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2073,676,170,3,18,3,1702353415,288
8,0.36470588235294116,0.29951009203493323,0.3126346929979233,0.36470588235294116,151,1,2.3448801040649414,0.046820878982543945,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2073,676,170,3,18,3,1702353415,288
10,0.4647058823529412,0.4309444129084732,0.4056171683710212,0.4647058823529412,127,1,2.3448801040649414,0.04457664489746094,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2073,676,170,3,18,3,1702353415,288
15,0.5764705882352941,0.5282313594334055,0.46265328874024525,0.5764705882352941,105,1,2.3448801040649414,0.0453486442565918,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2073,676,170,3,18,3,1702353415,288
2,0.3352941176470588,0.24721079878851038,0.24788378644401451,0.3352941176470588,160,2,0.17660737037658691,0.0435330867767334,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2016,676,170,3,18,3,1702353420,288
5,0.3235294117647059,0.22415376325410927,0.23279582103111518,0.3235294117647059,162,2,0.17660737037658691,0.04660916328430176,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2016,676,170,3,18,3,1702353420,288
8,0.36470588235294116,0.2940963586500015,0.3100013035834452,0.36470588235294116,151,2,0.17660737037658691,0.04703688621520996,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2016,676,170,3,18,3,1702353420,288
10,0.36470588235294116,0.2940963586500015,0.3100013035834452,0.36470588235294116,153,2,0.17660737037658691,0.04666781425476074,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2016,676,170,3,18,3,1702353420,288
15,0.43529411764705883,0.38188624923825476,0.3525002039318052,0.4352941176470588,131,2,0.17660737037658691,0.04607272148132324,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2016,676,170,3,18,3,1702353420,288
2,0.32941176470588235,0.23867789678800583,0.2418455559187825,0.32941176470588235,161,3,0.16743159294128418,0.043695688247680664,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2137,676,170,3,18,3,1702353421,288
5,0.32941176470588235,0.23791806315286296,0.26976175085418785,0.32941176470588235,153,3,0.16743159294128418,0.04344606399536133,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2137,676,170,3,18,3,1702353421,288
8,0.3235294117647059,0.22779588134511375,0.2623643632210166,0.3235294117647059,151,3,0.16743159294128418,0.04374289512634277,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2137,676,170,3,18,3,1702353421,288
10,0.4647058823529412,0.4309444129084732,0.4056171683710212,0.4647058823529412,125,3,0.16743159294128418,0.04470252990722656,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2137,676,170,3,18,3,1702353421,288
15,0.4823529411764706,0.4463870934981466,0.411830476425371,0.4823529411764706,126,3,0.16743159294128418,0.04533028602600098,DictRam,{},16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,2137,676,170,3,18,3,1702353421,288
2,0.32941176470588235,0.23867789678800583,0.2418455559187825,0.32941176470588235,161,1,0.11671876907348633,0.07486987113952637,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,1348056,676,170,3,18,3,1702353421,288
5,0.32941176470588235,0.23791806315286296,0.26976175085418785,0.32941176470588235,153,1,0.11671876907348633,0.07561898231506348,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,1348056,676,170,3,18,3,1702353421,288
8,0.3235294117647059,0.22779588134511375,0.2623643632210166,0.3235294117647059,151,1,0.11671876907348633,0.07248425483703613,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,1348056,676,170,3,18,3,1702353421,288
10,0.4647058823529412,0.4309444129084732,0.4056171683710212,0.4647058823529412,125,1,0.11671876907348633,0.07386302947998047,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,vehicle,thermometer,"{""resolution"": 16}",vehicle experiment,1348056,676,170,3,18,3,1702353421,288
