bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
2,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,35,1,2.1967170238494873,0.17152881622314453,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1049,124,54,3,13,3,1702353277,208
5,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,25,1,2.1967170238494873,0.011483907699584961,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1049,124,54,3,13,3,1702353277,208
8,0.6481481481481481,0.6223905723905724,0.6080808080808081,0.6481481481481481,16,1,2.1967170238494873,0.011690139770507812,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1049,124,54,3,13,3,1702353277,208
10,0.6851851851851852,0.6425925925925926,0.6222222222222222,0.6851851851851852,9,1,2.1967170238494873,0.011559724807739258,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1049,124,54,3,13,3,1702353277,208
15,0.6851851851851852,0.6425925925925926,0.6222222222222222,0.6851851851851852,13,1,2.1967170238494873,0.011671781539916992,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1049,124,54,3,13,3,1702353277,208
2,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,35,2,0.023805856704711914,0.01079249382019043,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1042,124,54,3,13,3,1702353281,208
5,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,25,2,0.023805856704711914,0.011754035949707031,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1042,124,54,3,13,3,1702353281,208
8,0.6481481481481481,0.6223905723905724,0.6080808080808081,0.6481481481481481,16,2,0.023805856704711914,0.01177668571472168,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1042,124,54,3,13,3,1702353281,208
10,0.6851851851851852,0.6425925925925926,0.6222222222222222,0.6851851851851852,9,2,0.023805856704711914,0.011363983154296875,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1042,124,54,3,13,3,1702353281,208
15,0.6851851851851852,0.6425925925925926,0.6222222222222222,0.6851851851851852,8,2,0.023805856704711914,0.011845588684082031,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1042,124,54,3,13,3,1702353281,208
2,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,35,3,0.023246288299560547,0.010746002197265625,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1042,124,54,3,13,3,1702353281,208
5,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,25,3,0.023246288299560547,0.011761188507080078,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1042,124,54,3,13,3,1702353281,208
8,0.6481481481481481,0.6223905723905724,0.6080808080808081,0.6481481481481481,16,3,0.023246288299560547,0.011718034744262695,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1042,124,54,3,13,3,1702353281,208
10,0.6851851851851852,0.6425925925925926,0.6222222222222222,0.6851851851851852,9,3,0.023246288299560547,0.011463642120361328,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1042,124,54,3,13,3,1702353281,208
15,0.6851851851851852,0.6425925925925926,0.6222222222222222,0.6851851851851852,8,3,0.023246288299560547,0.011617183685302734,DictRam,{},16,wine,thermometer,"{""resolution"": 16}",wine experiment,1042,124,54,3,13,3,1702353281,208
2,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,35,1,0.01585221290588379,0.014341592788696289,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353281,208
5,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,25,1,0.01585221290588379,0.015146493911743164,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353281,208
8,0.6481481481481481,0.6223905723905724,0.6080808080808081,0.6481481481481481,16,1,0.01585221290588379,0.014669656753540039,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353281,208
10,0.6851851851851852,0.6425925925925926,0.6222222222222222,0.6851851851851852,9,1,0.01585221290588379,0.014970779418945312,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353281,208
15,0.6851851851851852,0.6425925925925926,0.6222222222222222,0.6851851851851852,8,1,0.01585221290588379,0.015139579772949219,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353281,208
2,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,35,2,0.016488313674926758,0.015752077102661133,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353282,208
5,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,25,2,0.016488313674926758,0.016596078872680664,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353282,208
8,0.6481481481481481,0.6223905723905724,0.6080808080808081,0.6481481481481481,16,2,0.016488313674926758,0.015769481658935547,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353282,208
10,0.6851851851851852,0.6425925925925926,0.6222222222222222,0.6851851851851852,9,2,0.016488313674926758,0.01697850227355957,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353282,208
15,0.7037037037037037,0.6925729442970822,0.6890362511052165,0.7037037037037037,7,2,0.016488313674926758,0.0170137882232666,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353282,208
2,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,35,3,0.015126228332519531,0.015527725219726562,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353282,208
5,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,25,3,0.015126228332519531,0.016470909118652344,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353282,208
8,0.6481481481481481,0.6223905723905724,0.6080808080808081,0.6481481481481481,16,3,0.015126228332519531,0.016790390014648438,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353282,208
10,0.6851851851851852,0.6425925925925926,0.6222222222222222,0.6851851851851852,9,3,0.015126228332519531,0.016660213470458984,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353282,208
15,0.7037037037037037,0.6925729442970822,0.6890362511052165,0.7037037037037037,7,3,0.015126228332519531,0.016569137573242188,count-bloom,"{""est_elements"": 1000, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,973596,124,54,3,13,3,1702353282,208
2,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,35,1,0.01644110679626465,0.015667438507080078,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,98124,124,54,3,13,3,1702353282,208
5,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,25,1,0.01644110679626465,0.016727924346923828,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,98124,124,54,3,13,3,1702353282,208
8,0.6481481481481481,0.6223905723905724,0.6080808080808081,0.6481481481481481,16,1,0.01644110679626465,0.01679539680480957,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,98124,124,54,3,13,3,1702353282,208
10,0.6851851851851852,0.6425925925925926,0.6222222222222222,0.6851851851851852,9,1,0.01644110679626465,0.01684737205505371,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,98124,124,54,3,13,3,1702353282,208
15,0.7037037037037037,0.6925729442970822,0.6890362511052165,0.7037037037037037,7,1,0.01644110679626465,0.016684532165527344,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,98124,124,54,3,13,3,1702353282,208
2,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,35,2,0.01637101173400879,0.01661062240600586,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,98124,124,54,3,13,3,1702353282,208
5,0.6666666666666666,0.5641509433962264,0.5264150943396225,0.6666666666666666,25,2,0.01637101173400879,0.01658153533935547,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,98124,124,54,3,13,3,1702353282,208
8,0.6481481481481481,0.6223905723905724,0.6080808080808081,0.6481481481481481,16,2,0.01637101173400879,0.016821861267089844,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,98124,124,54,3,13,3,1702353282,208
10,0.6851851851851852,0.6425925925925926,0.6222222222222222,0.6851851851851852,9,2,0.01637101173400879,0.016757965087890625,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,98124,124,54,3,13,3,1702353282,208
15,0.7037037037037037,0.6925729442970822,0.6890362511052165,0.7037037037037037,7,2,0.01637101173400879,0.01669764518737793,count-bloom,"{""est_elements"": 100, ""false_positive_rate"": 0.05}",16,wine,thermometer,"{""resolution"": 16}",wine experiment,98124,124,54,3,13,3,1702353282,208
