bleach,accuracy,f1 weighted,f1 macro,f1 micro,ties,run,train time,predict time,ram name,ram kwargs,tuple size,dataset name,encoder,encoder kwargs,experiment name,model size,train samples,test samples,classes,rams per discriminator,discriminators,seed,indices
7,0.2760942760942761,0.2457824868204109,0.11942889233237501,0.2760942760942761,94,1,2.32169771194458,0.27283716201782227,DictRam,{},19,yeast,distributive-thermometer,"{""resolution"": 19}",yeast experiment,26119,1187,297,10,8,10,1702352352,152
8,0.265993265993266,0.23736718885611494,0.11869256524497011,0.265993265993266,98,1,2.32169771194458,0.1065061092376709,DictRam,{},19,yeast,distributive-thermometer,"{""resolution"": 19}",yeast experiment,26119,1187,297,10,8,10,1702352352,152
9,0.25925925925925924,0.22992232434873128,0.10528786689500975,0.25925925925925924,94,1,2.32169771194458,0.11815929412841797,DictRam,{},19,yeast,distributive-thermometer,"{""resolution"": 19}",yeast experiment,26119,1187,297,10,8,10,1702352352,152
10,0.24579124579124578,0.23101393919140373,0.10888561876363449,0.24579124579124578,96,1,2.32169771194458,0.10944938659667969,DictRam,{},19,yeast,distributive-thermometer,"{""resolution"": 19}",yeast experiment,26119,1187,297,10,8,10,1702352352,152
15,0.26262626262626265,0.2524227374660613,0.13534665634417634,0.26262626262626265,105,1,2.32169771194458,0.1085052490234375,DictRam,{},19,yeast,distributive-thermometer,"{""resolution"": 19}",yeast experiment,26119,1187,297,10,8,10,1702352352,152
7,0.3164983164983165,0.2689287139106943,0.15318002015088328,0.3164983164983165,112,2,0.12609243392944336,0.1087803840637207,DictRam,{},19,yeast,distributive-thermometer,"{""resolution"": 19}",yeast experiment,25195,1187,297,10,8,10,1702352357,152
8,0.31986531986531985,0.27307791174951435,0.1519702072164651,0.31986531986531985,119,2,0.12609243392944336,0.1121056079864502,DictRam,{},19,yeast,distributive-thermometer,"{""resolution"": 19}",yeast experiment,25195,1187,297,10,8,10,1702352357,152
9,0.31313131313131315,0.2745932293621577,0.15309877925079016,0.31313131313131315,108,2,0.12609243392944336,0.1127614974975586,DictRam,{},19,yeast,distributive-thermometer,"{""resolution"": 19}",yeast experiment,25195,1187,297,10,8,10,1702352357,152
10,0.30303030303030304,0.2632666518955148,0.14466683481534967,0.30303030303030304,114,2,0.12609243392944336,0.1089625358581543,DictRam,{},19,yeast,distributive-thermometer,"{""resolution"": 19}",yeast experiment,25195,1187,297,10,8,10,1702352357,152
15,0.27946127946127947,0.2440981099340025,0.1336639104622804,0.27946127946127947,107,2,0.12609243392944336,0.11571717262268066,DictRam,{},19,yeast,distributive-thermometer,"{""resolution"": 19}",yeast experiment,25195,1187,297,10,8,10,1702352357,152
7,0.32323232323232326,0.27078221189030954,0.1308407593955831,0.32323232323232326,130,3,0.12556028366088867,0.10991096496582031,DictRam,{},19,yeast,distributive-thermometer,"{""resolution"": 19}",yeast experiment,24859,1187,297,10,8,10,1702352358,152
