accuracy,f1 weighted,f1 macro,f1 micro,run,train time,predict time,dataset name,model,model kwargs,model size,experiment name,train samples,test samples,classes,discriminators,seed
0.9593333333333334,0.9593439547124045,0.959177943686388,0.9593333333333334,1,1.438751459121704,0.1275177001953125,letter,random-forest,{},104208230,letter experiment,14000,6000,26,26,1702344468
0.9616666666666667,0.9616869366617645,0.9615034622086213,0.9616666666666667,2,1.3812918663024902,0.14029932022094727,letter,random-forest,{},104197894,letter experiment,14000,6000,26,26,1702344470
0.9611666666666666,0.9612097278361404,0.9610837931655649,0.9611666666666666,3,1.3694939613342285,0.12581706047058105,letter,random-forest,{},104263718,letter experiment,14000,6000,26,26,1702344471
0.8693333333333333,0.869348654380537,0.8691463484666837,0.8693333333333333,1,0.06762576103210449,0.0013670921325683594,letter,decision-tree,{},976458,letter experiment,14000,6000,26,26,1702344473
0.8693333333333333,0.869348654380537,0.8691463484666837,0.8693333333333333,2,0.06024479866027832,0.0012371540069580078,letter,decision-tree,{},976458,letter experiment,14000,6000,26,26,1702344473
0.8693333333333333,0.869348654380537,0.8691463484666837,0.8693333333333333,3,0.058945655822753906,0.0012593269348144531,letter,decision-tree,{},976458,letter experiment,14000,6000,26,26,1702344473
0.7598333333333334,0.7589087321447351,0.757567679434882,0.7598333333333335,1,1.1338214874267578,0.0016503334045410156,letter,logistic-regression,{},4431,letter experiment,14000,6000,26,26,1702344473
0.7598333333333334,0.7589087321447351,0.757567679434882,0.7598333333333335,2,1.1893095970153809,0.00970458984375,letter,logistic-regression,{},4431,letter experiment,14000,6000,26,26,1702344474
0.7598333333333334,0.7589087321447351,0.757567679434882,0.7598333333333335,3,1.2075061798095703,0.0015680789947509766,letter,logistic-regression,{},4431,letter experiment,14000,6000,26,26,1702344475
0.9455,0.9454876076842206,0.9452910102660458,0.9455,1,0.0011286735534667969,1.8575923442840576,letter,knn,{},1904877,letter experiment,14000,6000,26,26,1702344477
0.9455,0.9454876076842206,0.9452910102660458,0.9455,2,0.0006299018859863281,1.816258192062378,letter,knn,{},1904877,letter experiment,14000,6000,26,26,1702344479
0.9455,0.9454876076842206,0.9452910102660458,0.9455,3,0.0006453990936279297,1.7714002132415771,letter,knn,{},1904877,letter experiment,14000,6000,26,26,1702344480
0.6375,0.6337851188584289,0.6324495800860357,0.6375,1,0.006971836090087891,0.014509916305541992,letter,naive-bayes,{},7815,letter experiment,14000,6000,26,26,1702344482
0.6375,0.6337851188584289,0.6324495800860357,0.6375,2,0.006563901901245117,0.014334678649902344,letter,naive-bayes,{},7815,letter experiment,14000,6000,26,26,1702344482
0.6375,0.6337851188584289,0.6324495800860357,0.6375,3,0.0061855316162109375,0.014307498931884766,letter,naive-bayes,{},7815,letter experiment,14000,6000,26,26,1702344482
0.9198333333333333,0.9198490520102552,0.9195760919959294,0.9198333333333333,1,8.81342887878418,0.013651609420776367,letter,mlp,{},112350,letter experiment,14000,6000,26,26,1702344482
0.923,0.922997848044351,0.9228653376791116,0.923,2,9.045853853225708,0.013588190078735352,letter,mlp,{},112350,letter experiment,14000,6000,26,26,1702344491
0.9186666666666666,0.9187151899548462,0.918527829690932,0.9186666666666666,3,8.926522970199585,0.022553682327270508,letter,mlp,{},112351,letter experiment,14000,6000,26,26,1702344500
0.92,0.920508548819519,0.920207507938896,0.92,1,1.5684452056884766,3.524824380874634,letter,svm,{},2730919,letter experiment,14000,6000,26,26,1702344509
0.92,0.920508548819519,0.920207507938896,0.92,2,1.509619951248169,3.5314855575561523,letter,svm,{},2730919,letter experiment,14000,6000,26,26,1702344514
0.92,0.920508548819519,0.920207507938896,0.92,3,1.513455867767334,3.538344383239746,letter,svm,{},2730919,letter experiment,14000,6000,26,26,1702344519
