accuracy,f1 weighted,f1 macro,f1 micro,run,train time,predict time,dataset name,model,model kwargs,model size,experiment name,train samples,test samples,classes,discriminators,seed
0.9706,0.9705819729460975,0.9703767497154836,0.9706,1,33.704055309295654,0.3344552516937256,mnist,random-forest,{},144175823,mnist experiment,60000,10000,10,10,1702344813
0.9715,0.9714855379434503,0.9713329799412657,0.9715,2,50.23064303398132,0.34050512313842773,mnist,random-forest,{},144130319,mnist experiment,60000,10000,10,10,1702344847
0.9688,0.9687760269503668,0.9685684164510873,0.9688,3,32.09074544906616,0.3324093818664551,mnist,random-forest,{},143961263,mnist experiment,60000,10000,10,10,1702344897
0.8776,0.8775181588251381,0.8760526418689606,0.8776,1,14.99581503868103,0.01473855972290039,mnist,decision-tree,{},1134925,mnist experiment,60000,10000,10,10,1702344930
0.8788,0.878709643159116,0.8772105184495949,0.8787999999999999,2,16.765262603759766,0.01415252685546875,mnist,decision-tree,{},1135789,mnist experiment,60000,10000,10,10,1702344945
0.8786,0.8785311615219474,0.8771468027223905,0.8785999999999999,3,15.117014408111572,0.010379791259765625,mnist,decision-tree,{},1134925,mnist experiment,60000,10000,10,10,1702344962
0.9255,0.925382715723669,0.9244351911243222,0.9255,1,10.692566633224487,0.02010822296142578,mnist,logistic-regression,{},63569,mnist experiment,60000,10000,10,10,1702344977
0.9255,0.925382715723669,0.9244351911243222,0.9255,2,11.028757095336914,0.05758190155029297,mnist,logistic-regression,{},63569,mnist experiment,60000,10000,10,10,1702344988
0.9255,0.925382715723669,0.9244351911243222,0.9255,3,9.775148391723633,0.01790475845336914,mnist,logistic-regression,{},63569,mnist experiment,60000,10000,10,10,1702344999
0.9688,0.9687470572168784,0.9687143421292884,0.9688,1,0.002277374267578125,13.914591312408447,mnist,knn,{},47520753,mnist experiment,60000,10000,10,10,1702345009
0.9688,0.9687470572168784,0.9687143421292884,0.9688,2,0.002064943313598633,13.956352233886719,mnist,knn,{},47520753,mnist experiment,60000,10000,10,10,1702345023
0.9688,0.9687470572168784,0.9687143421292884,0.9688,3,0.0018410682678222656,14.018548965454102,mnist,knn,{},47520753,mnist experiment,60000,10000,10,10,1702345037
0.5558,0.5170420327932063,0.5089855858364396,0.5558,1,0.4135549068450928,0.4431576728820801,mnist,naive-bayes,{},126227,mnist experiment,60000,10000,10,10,1702345051
0.5558,0.5170420327932063,0.5089855858364396,0.5558,2,0.4099278450012207,0.4259302616119385,mnist,naive-bayes,{},126227,mnist experiment,60000,10000,10,10,1702345052
0.5558,0.5170420327932063,0.5089855858364396,0.5558,3,0.4058361053466797,0.4267113208770752,mnist,naive-bayes,{},126227,mnist experiment,60000,10000,10,10,1702345052
0.9654,0.9653970166290333,0.9650142643493173,0.9654,1,109.96618413925171,0.04480314254760742,mnist,mlp,{},1914400,mnist experiment,60000,10000,10,10,1702345053
0.9669,0.9669157387812102,0.9665270259216975,0.9669,2,71.6812379360199,0.0469050407409668,mnist,mlp,{},1913905,mnist experiment,60000,10000,10,10,1702345163
0.9662,0.9661585743860225,0.9658385718716591,0.9662,3,119.99077868461609,0.043562889099121094,mnist,mlp,{},1914418,mnist experiment,60000,10000,10,10,1702345235
0.9792,0.9791856837674859,0.9791298259748042,0.9792,1,199.27281212806702,92.70004773139954,mnist,svm,{},78311192,mnist experiment,60000,10000,10,10,1702345355
0.9792,0.9791856837674859,0.9791298259748042,0.9792,2,193.11431503295898,68.6805911064148,mnist,svm,{},78311192,mnist experiment,60000,10000,10,10,1702345647
0.9792,0.9791856837674859,0.9791298259748042,0.9792,3,193.26885151863098,67.31067991256714,mnist,svm,{},78311192,mnist experiment,60000,10000,10,10,1702345909
