accuracy,f1 weighted,f1 macro,f1 micro,run,train time,predict time,dataset name,model,model kwargs,model size,experiment name,train samples,test samples,classes,discriminators,seed
0.9375,0.9333333333333333,0.9333333333333333,0.9375,1,4.204635381698608,0.01304483413696289,olivetti,random-forest,{},5565110,olivetti experiment,320,80,40,40,1703293379
0.9375,0.9333333333333332,0.9333333333333332,0.9375,2,3.852146863937378,0.012166023254394531,olivetti,random-forest,{},5582783,olivetti experiment,320,80,40,40,1703293384
0.9625,0.9616666666666667,0.9616666666666667,0.9625000000000001,3,3.8614141941070557,0.011809110641479492,olivetti,random-forest,{},5553581,olivetti experiment,320,80,40,40,1703293387
0.625,0.6077380952380953,0.6077380952380953,0.625,1,3.759822368621826,0.0006105899810791016,olivetti,decision-tree,{},44827,olivetti experiment,320,80,40,40,1703293391
0.525,0.5049999999999999,0.5049999999999999,0.525,2,4.17309308052063,0.0008647441864013672,olivetti,decision-tree,{},47131,olivetti experiment,320,80,40,40,1703293395
0.6625,0.6466666666666666,0.6466666666666666,0.6625,3,4.118849277496338,0.0006322860717773438,olivetti,decision-tree,{},45595,olivetti experiment,320,80,40,40,1703293399
0.975,0.9733333333333333,0.9733333333333333,0.975,1,11.510623931884766,0.007935047149658203,olivetti,logistic-regression,{},1312064,olivetti experiment,320,80,40,40,1703293403
0.975,0.9733333333333333,0.9733333333333333,0.975,2,11.39245891571045,0.0035741329193115234,olivetti,logistic-regression,{},1312064,olivetti experiment,320,80,40,40,1703293415
0.975,0.9733333333333333,0.9733333333333333,0.975,3,11.51606011390686,0.0052661895751953125,olivetti,logistic-regression,{},1312064,olivetti experiment,320,80,40,40,1703293426
0.85,0.85,0.85,0.85,1,0.0017850399017333984,0.5389738082885742,olivetti,knn,{},5246425,olivetti experiment,320,80,40,40,1703293438
0.85,0.85,0.85,0.85,2,0.0015285015106201172,0.40290021896362305,olivetti,knn,{},5246425,olivetti experiment,320,80,40,40,1703293438
0.85,0.85,0.85,0.85,3,0.0014247894287109375,0.5142366886138916,olivetti,knn,{},5246425,olivetti experiment,320,80,40,40,1703293439
0.875,0.8583333333333332,0.8583333333333332,0.875,1,0.011556863784790039,0.05635786056518555,olivetti,naive-bayes,{},2622965,olivetti experiment,320,80,40,40,1703293439
0.875,0.8583333333333332,0.8583333333333332,0.875,2,0.011339187622070312,0.06627297401428223,olivetti,naive-bayes,{},2622965,olivetti experiment,320,80,40,40,1703293439
0.875,0.8583333333333332,0.8583333333333332,0.875,3,0.011004447937011719,0.05970907211303711,olivetti,naive-bayes,{},2622965,olivetti experiment,320,80,40,40,1703293440
0.4625,0.4309523809523809,0.4309523809523809,0.4625,1,8.082733869552612,0.007456302642822266,olivetti,mlp,{},4973631,olivetti experiment,320,80,40,40,1703293440
0.8875,0.8833333333333332,0.8833333333333332,0.8875,2,7.492051124572754,0.002493619918823242,olivetti,mlp,{},4973631,olivetti experiment,320,80,40,40,1703293448
0.5625,0.5323809523809524,0.5323809523809524,0.5625,3,8.09174656867981,0.007246732711791992,olivetti,mlp,{},4973631,olivetti experiment,320,80,40,40,1703293455
0.9375,0.9349999999999999,0.9349999999999999,0.9375,1,0.2555413246154785,0.12723755836486816,olivetti,svm,{},10571372,olivetti experiment,320,80,40,40,1703293463
0.9375,0.9349999999999999,0.9349999999999999,0.9375,2,0.19513988494873047,0.11907744407653809,olivetti,svm,{},10571372,olivetti experiment,320,80,40,40,1703293464
0.9375,0.9349999999999999,0.9349999999999999,0.9375,3,0.19537901878356934,0.11922001838684082,olivetti,svm,{},10571372,olivetti experiment,320,80,40,40,1703293464
