accuracy,f1 weighted,f1 macro,f1 micro,run,train time,predict time,dataset name,model,model kwargs,model size,experiment name,train samples,test samples,classes,discriminators,seed
0.9814814814814815,0.981554331672349,0.981117230527144,0.9814814814814815,1,0.09352898597717285,0.004284858703613281,wine,random-forest,{},189578,wine experiment,124,54,3,3,1702345718
0.9814814814814815,0.981554331672349,0.981117230527144,0.9814814814814815,2,0.09462189674377441,0.004674673080444336,wine,random-forest,{},189578,wine experiment,124,54,3,3,1702345718
0.9814814814814815,0.981554331672349,0.981117230527144,0.9814814814814815,3,0.09408283233642578,0.004633665084838867,wine,random-forest,{},189578,wine experiment,124,54,3,3,1702345718
0.9074074074074074,0.9060612336474406,0.9017736948771432,0.9074074074074074,1,0.0012080669403076172,0.0001399517059326172,wine,decision-tree,{},2629,wine experiment,124,54,3,3,1702345718
0.9074074074074074,0.9060612336474406,0.9017736948771432,0.9074074074074074,2,0.0011439323425292969,0.00013065338134765625,wine,decision-tree,{},2629,wine experiment,124,54,3,3,1702345718
0.9074074074074074,0.9060612336474406,0.9017736948771432,0.9074074074074074,3,0.0011126995086669922,0.00013589859008789062,wine,decision-tree,{},2629,wine experiment,124,54,3,3,1702345718
0.9259259259259259,0.9241593567251463,0.9265350877192983,0.9259259259259259,1,0.014269113540649414,0.00022649765014648438,wine,logistic-regression,{},1047,wine experiment,124,54,3,3,1702345718
0.9259259259259259,0.9241593567251463,0.9265350877192983,0.9259259259259259,2,0.013208389282226562,0.00015616416931152344,wine,logistic-regression,{},1047,wine experiment,124,54,3,3,1702345718
0.9259259259259259,0.9241593567251463,0.9265350877192983,0.9259259259259259,3,0.0128326416015625,0.00015926361083984375,wine,logistic-regression,{},1047,wine experiment,124,54,3,3,1702345718
0.6851851851851852,0.6714063714063714,0.6627195027195028,0.6851851851851852,1,0.0007510185241699219,0.0033910274505615234,wine,knn,{},30681,wine experiment,124,54,3,3,1702345718
0.6851851851851852,0.6714063714063714,0.6627195027195028,0.6851851851851852,2,0.0005571842193603516,0.0028676986694335938,wine,knn,{},30681,wine experiment,124,54,3,3,1702345718
0.6851851851851852,0.6714063714063714,0.6627195027195028,0.6851851851851852,3,0.0005662441253662109,0.002937793731689453,wine,knn,{},30681,wine experiment,124,54,3,3,1702345719
0.9629629629629629,0.9631944444444445,0.9625,0.9629629629629629,1,0.0008244514465332031,0.00020813941955566406,wine,naive-bayes,{},1231,wine experiment,124,54,3,3,1702345719
0.9629629629629629,0.9631944444444445,0.9625,0.9629629629629629,2,0.0007088184356689453,0.000186920166015625,wine,naive-bayes,{},1231,wine experiment,124,54,3,3,1702345719
0.9629629629629629,0.9631944444444445,0.9625,0.9629629629629629,3,0.0007061958312988281,0.00017905235290527344,wine,naive-bayes,{},1231,wine experiment,124,54,3,3,1702345719
0.8888888888888888,0.88837699488106,0.8889792231255645,0.8888888888888888,1,0.06923317909240723,0.0002808570861816406,wine,mlp,{},49203,wine experiment,124,54,3,3,1702345719
0.8888888888888888,0.88837699488106,0.8889792231255645,0.8888888888888888,2,0.06637907028198242,0.00021409988403320312,wine,mlp,{},49203,wine experiment,124,54,3,3,1702345719
0.8888888888888888,0.88837699488106,0.8889792231255645,0.8888888888888888,3,0.06347227096557617,0.000225067138671875,wine,mlp,{},49203,wine experiment,124,54,3,3,1702345719
0.6666666666666666,0.6486013986013985,0.637995337995338,0.6666666666666666,1,0.0013225078582763672,0.00039124488830566406,wine,svm,{},11297,wine experiment,124,54,3,3,1702345719
0.6666666666666666,0.6486013986013985,0.637995337995338,0.6666666666666666,2,0.0011103153228759766,0.0003535747528076172,wine,svm,{},11297,wine experiment,124,54,3,3,1702345719
0.6666666666666666,0.6486013986013985,0.637995337995338,0.6666666666666666,3,0.0011022090911865234,0.0003719329833984375,wine,svm,{},11297,wine experiment,124,54,3,3,1702345719
